date,level,AQI,AQIarrange,PM25,PM10,So2,No2,Co,O3
2021-08-20,优,34,179,19,31,12,30,0.95,75
2021-08-21,良,53,339,35,56,13,31,1.05,83
2021-08-22,优,47,262,28,42,18,20,0.89,84
2021-08-23,良,54,334,33,58,20,38,1.03,66
2021-08-24,优,41,272,19,42,10,32,0.63,57
2021-08-25,优,30,132,11,26,7,25,0.55,58
2021-08-26,优,39,231,18,34,17,38,0.72,54
2021-08-27,良,62,361,30,59,19,31,0.97,104
2021-08-28,良,62,350,42,71,18,22,1.03,118
2021-08-29,良,65,359,46,68,15,25,0.93,94
2021-08-30,优,48,326,30,52,22,29,0.95,81
2021-08-31,优,36,219,22,28,7,18,0.78,94
2021-09-01,优,39,234,19,35,11,30,0.78,67
2021-09-02,良,62,351,35,60,15,32,1.03,83
2021-09-03,良,65,355,44,74,17,41,1.41,60
2021-09-04,优,30,141,16,19,8,18,0.85,88
2021-09-05,优,32,199,22,29,9,19,0.83,74
2021-09-06,优,32,232,20,29,10,29,0.89,44
2021-09-07,优,40,291,19,35,19,37,0.77,61
2021-09-08,良,51,315,24,50,21,42,0.87,73
2021-09-09,良,57,316,29,61,16,38,0.95,91
2021-09-10,良,82,359,58,98,21,41,1.19,103
2021-09-11,良,86,358,59,92,16,30,1.26,120
2021-09-12,良,95,363,71,109,14,17,1.39,145
2021-09-13,良,90,363,66,100,16,22,1.30,116
2021-09-14,良,73,354,53,78,12,19,1.08,114
2021-09-15,良,66,351,47,73,12,22,0.97,80
2021-09-16,优,43,244,28,41,13,21,0.78,68
2021-09-17,优,34,159,20,34,9,34,0.89,35
2021-09-18,优,45,234,25,46,14,29,1.10,31
2021-09-19,优,24,89,8,11,10,21,0.65,77
2021-09-20,优,30,176,14,23,7,28,0.62,77
2021-09-21,优,38,253,17,37,12,32,0.66,75
2021-09-22,良,52,285,26,54,16,41,0.91,55
2021-09-23,优,40,197,25,39,12,32,0.81,65
2021-09-24,优,25,81,17,22,10,17,0.77,77
2021-09-25,优,25,99,12,16,8,16,0.65,77
2021-09-26,优,18,30,10,15,11,26,0.77,48
2021-09-27,优,32,150,17,31,9,32,0.83,39
2021-09-28,优,47,230,21,48,11,41,0.83,40
2021-09-29,良,52,291,31,55,15,33,0.94,73
2021-09-30,良,59,298,37,68,12,37,1.09,59
2021-10-01,良,86,355,62,103,14,31,1.24,70
2021-10-02,良,88,350,65,109,16,34,1.23,65
2021-10-03,良,69,334,50,80,16,37,1.57,40
2021-10-04,优,24,54,14,20,7,20,0.69,61
2021-10-05,优,19,71,7,10,7,19,0.52,60
2021-10-06,优,15,37,7,9,11,21,0.62,47
2021-10-07,优,26,139,16,21,11,29,0.74,32
2021-10-08,优,39,239,23,39,11,31,0.72,41
2021-10-09,优,35,191,23,34,6,34,0.84,47
2021-10-10,优,47,313,19,53,7,31,0.50,40
2021-10-11,优,43,311,19,42,12,36,0.76,29
2021-10-12,优,47,307,23,48,17,35,0.70,40
2021-10-13,良,56,302,36,61,20,40,0.83,61
2021-10-14,良,51,271,33,52,14,44,0.82,40
2021-10-15,优,43,255,22,44,17,42,0.58,38
2021-10-16,优,43,303,17,44,19,37,0.57,28
2021-10-17,优,49,309,23,53,16,41,0.77,28
2021-10-18,良,64,320,38,76,23,48,1.03,34
2021-10-19,良,63,305,40,72,13,44,0.85,18
2021-10-20,良,91,359,63,99,29,45,1.26,14
2021-10-21,良,56,270,34,47,10,38,0.72,39
2021-10-22,优,47,208,22,52,26,42,0.67,33
2021-10-23,良,63,276,37,69,25,46,0.88,36
2021-10-24,良,92,329,68,101,28,55,1.13,47
2021-10-25,良,71,250,48,77,26,51,0.97,49
2021-10-26,良,65,234,40,79,35,59,0.94,33
2021-10-27,良,61,223,33,71,21,52,0.82,30
2021-10-28,良,81,299,59,86,19,44,1.05,51
2021-10-29,良,67,235,45,80,17,50,0.95,35
2021-10-30,良,77,254,49,89,25,52,1.00,37
2021-10-31,良,62,217,34,77,28,46,0.89,39
2021-11-01,良,87,318,62,100,25,43,1.00,40
2021-11-02,良,89,318,66,93,18,42,1.12,46
2021-11-03,良,59,187,36,69,21,47,0.85,46
2021-11-04,良,71,228,49,87,29,54,1.00,40
2021-11-05,轻度污染,129,324,96,138,21,52,1.23,37
2021-11-06,中度污染,158,339,119,158,20,40,1.38,31
2021-11-07,优,28,151,13,28,10,15,0.53,58
2021-11-08,优,32,178,16,32,14,23,0.68,55
2021-11-09,优,32,113,16,31,15,29,0.67,50
2021-11-10,优,29,70,11,28,8,23,0.49,57
2021-11-11,优,36,100,16,35,10,33,0.51,46
2021-11-12,优,50,168,23,55,18,44,0.71,34
2021-11-13,良,66,222,37,82,33,48,0.76,40
2021-11-14,良,65,198,35,80,33,47,0.79,38
2021-11-15,良,83,267,54,115,32,60,1.05,20
2021-11-16,良,97,273,71,128,24,61,1.23,14
2021-11-17,良,95,258,69,117,35,58,1.21,40
2021-11-18,良,88,247,64,104,36,62,1.07,42
2021-11-19,良,91,277,67,108,20,48,1.20,30
2021-11-20,良,84,288,60,101,18,42,1.18,14
2021-11-21,轻度污染,111,349,51,138,16,31,0.78,46
2021-11-22,优,49,209,16,54,12,25,0.58,42
2021-11-23,优,48,155,24,50,32,38,0.75,36
2021-11-24,良,73,273,36,95,25,40,0.75,44
2021-11-25,良,78,266,46,106,39,50,0.82,35
2021-11-26,良,75,226,51,99,32,57,0.97,22
2021-11-27,良,93,290,67,121,30,62,1.13,14
2021-11-28,轻度污染,113,327,85,137,33,65,1.58,27
2021-11-29,良,98,322,72,109,30,50,1.19,24
2021-11-30,优,42,154,14,45,10,24,0.50,47
2021-12-01,优,41,148,21,43,19,39,0.72,30
2021-12-02,良,56,208,27,62,24,36,0.69,40
2021-12-03,良,56,163,27,64,25,41,0.67,36
2021-12-04,良,54,130,35,63,44,50,0.88,27
2021-12-05,良,73,206,50,88,55,62,1.10,30
